timestep,totalHeight,momentumX,momentumY
8640.89,0.75654,-3.6185,0.327338
8702.54,0.973316,-3.30567,0.384685
8761.25,1.16124,-2.96878,0.433721
8822.9,1.33722,-2.58599,0.477765
8881.61,1.4833,-2.20453,0.511342
8940.32,1.60771,-1.81644,0.53584
9001.96,1.71481,-1.41133,0.551183
9060.67,1.79461,-1.03569,0.555732
9122.32,1.85572,-0.658906,0.550095
9181.03,1.89322,-0.322008,0.535223
9242.68,1.91207,0.00462711,0.510296
9301.39,1.91178,0.287304,0.478566
9363.04,1.89386,0.552703,0.437988
9421.75,1.86154,0.775036,0.39351
9480.46,1.81585,0.967963,0.344484
9542.1,1.7551,1.13987,0.289334
9600.82,1.68659,1.27582,0.234468
9662.46,1.60503,1.39132,0.175547
9721.17,1.51957,1.47743,0.119172
9782.82,1.42305,1.54507,0.0607219
9841.53,1.32589,1.59004,0.00658516
9900.24,1.22471,1.61819,-0.0454243
9961.89,1.11522,1.63187,-0.097109
10020.6,1.00878,1.63171,-0.143029
10082.2,0.895672,1.61966,-0.187345
10141,0.787437,1.5985,-0.22553
10202.6,0.674004,1.56766,-0.261158
10261.3,0.566814,1.53141,-0.290712
10323,0.455767,1.48728,-0.317076
10381.7,0.351954,1.44051,-0.337733
10440.4,0.250505,1.38993,-0.354085
10502,0.146948,1.3335,-0.366736
10560.7,0.0515232,1.27719,-0.374582
10622.4,-0.0449448,1.21598,-0.378627
10681.1,-0.132996,1.1562,-0.37868
10742.7,-0.221149,1.09232,-0.374997
10801.5,-0.3008,1.03081,-0.368197
10863.1,-0.379723,0.965781,-0.35789
10921.8,-0.450251,0.903675,-0.345372
10980.5,-0.51614,0.841574,-0.330534
11042.2,-0.580223,0.77647,-0.312829
11100.9,-0.636333,0.714611,-0.294302
11162.5,-0.690016,0.649741,-0.273505
11221.2,-0.736116,0.587936,-0.252802
11282.9,-0.779215,0.522875,-0.230571
11341.6,-0.815191,0.460531,-0.209299
11403.2,-0.847637,0.394403,-0.187288
11462,-0.873453,0.330543,-0.167044
11520.7,-0.894312,0.265559,-0.147893
11582.3,-0.9109,0.19589,-0.129321
11641,-0.921663,0.127962,-0.113416
11702.7,-0.9277,0.0548068,-0.0989241
11761.4,-0.928482,-0.0166785,-0.0875293
11823,-0.92416,-0.0936542,-0.0783226
11881.7,-0.915207,-0.168712,-0.072306
11943.4,-0.900829,-0.249119,-0.0690502
12002.1,-0.88253,-0.326911,-0.0689029
12060.8,-0.859865,-0.405533,-0.0716054
12122.5,-0.831551,-0.488489,-0.0774086
12181.2,-0.80048,-0.567286,-0.0856242
12242.8,-0.763756,-0.649118,-0.0968298
12301.5,-0.725143,-0.725465,-0.109683
12363.2,-0.681053,-0.803198,-0.125099
12421.9,-0.635965,-0.874109,-0.141197
12483.5,-0.585699,-0.944487,-0.159144
12542.2,-0.535366,-1.00683,-0.176766
12600.9,-0.482948,-1.06393,-0.1944
12662.6,-0.42602,-1.11758,-0.212395
12721.3,-0.370329,-1.16212,-0.228543
12782.9,-0.310663,-1.20153,-0.24394
12841.7,-0.253008,-1.23174,-0.256676
12903.3,-0.191914,-1.25556,-0.267579
12962,-0.133469,-1.27071,-0.275233
